id,problema_solucion,verbo_solucion,sujeto_solucion,complemento_solucion,coordinador_zonal_solucion,responsable_solucion,responsable_sistema,corresponsable_solucion,sistematizador_solucion,lider_mesa_solucion,tipo_fuente,Tipo_Mesa,nombre_ambit,nombre_evento,nombre_instrumento,nombre_provincia,nombre_sector,nombre_sipoc,nombre_tipo_empresa,nombre_estado,supuestos_cumplimientos,riesgos_cumplimiento,plazo_cumplimiento,fecha_cumplimiento,total_actividades,fecha_ultimo_registro
2023,"Desarrollar Plan de mejora competitiva","INNOVACIÓN, CALIDAD Y EMPRENDIMIENTO","Creación y fomento de uso de laboratorios especializados en certificación de productos ","Promover la acreditación SAE - CE para laboratorios públicos y privados de acuerdo a la priorización de líneas de investigación y productos del sector productivo incluyendo de EPS y ARTESANOS.","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Impulso al cambio de la matriz productiva","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proceso,Transversal,"En Desarrollo","Asignación de recursos financieros para contratación de evaluadores y expertos técnicos; permite la correcta ejecución de las actividades de acreditación así como el desarrollo de nuevos esquemas y brindar un mayor número de talleres de capacitación y difusión de la acreditación en el país","La falta de recursos financieros presupuestados CAUSARIA el retraso, eliminación o reprogramación de actividades planificadas",Mediano,2018-12-31,25,"2018-09-05 18:16:07"
2050,"Impulsar el diseño de una política comercial ","ACCESO A MERCADO","Desarrollar un plan nacional de fomento al consumo de productos nacionales","Incrementar el consumo de productos nacionales a través de:
- Campañas público privadas de consumo
- Ampliación del programa público de alimentación escolar
- Innovar y mejorar la competitividad de los productos 
- Identificar los mecanismos para precautelar y apoyar la producción nacional con miras a la sustitución de importaciones en base a los compromisos asumidos en los acuerdos comerciales
- Entre otros","Edwin De La portilla",MIPRO,MIPRO,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Promoción del consumo responsable","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Mercado,Transversal,"En Desarrollo",,,,0000-00-00,15,"2018-05-14 17:05:12"
1985,"Adecuar el marco de contratación laboral a la realidad productiva.","ENTORNO PRODUCTIVO","Permitir el contrato por horas como alternativa al contrato por jornada completa.","Presentar al Ministerio de Trabajo las propuestas de modalidad contractual elaboradas por los sectores: agropecuario, agroindustrial, forestal, acuacultura, obras y manufactura, entre otros, para que sea analizada su factibilidad para su implementación inmediata a través de Acuerdos Ministeriales.","Edwin De La portilla",MDT,MDT,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Generación de empleo","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proveedores,Transversal,"En Desarrollo",,,,0000-00-00,9,"2018-09-21 11:37:11"
2031,"Profesionalización y capacitación adecuada al sector","INNOVACIÓN, CALIDAD Y EMPRENDIMIENTO","Crear y fortalecer institutos técnicos superiores de formación dual enfocados a las necesidades de los sectores productivos ","Retomar hoja de ruta sobre alianza de formación dual que incluya la participación de EPS y ARTESANOS debido a las particularidades de su sector (títulos de  formación,  propios derechos artesanales y EPS)","Edwin De La portilla",MDT,MDT,N/A,"Secretario ad-hoc","Secretario ad-hoc",2,CCPT,"Impulso al cambio de la matriz productiva","Consejo Consultivo Productivo Tributario (CCPT)-Nacional",Infraestructura,Nacional,"Consejo Consultivo Productivo Tributario (CCPT)",Proveedores,Transversal,"En Desarrollo",,,,0000-00-00,8,"2018-09-06 17:01:46"
1925,"Impuesto a la Renta",TRIBUTACIÓN,"Modificaciones a la fórmula del cálculo y pago del anticipo de IR y a la tarifa de IR","Eliminación gradual del "impuesto mínimo" (exceso), en dos (2) años (disenso parcial en cuanto al tiempo) (Reforma del Art. 41 de la LORTI y Decreto Ejecutivo):
a. Devolución del 50% del exceso calculado (impuesto mínimo) en abril 2018, cuando el anticipo de impuesto a la renta del ejercicio fiscal 2017 sea mayor que el impuesto causado. (ELIMINACIÓN GRADUAL DEL IMPUESTO Mínimo - EXCESO)
- Devolución del exceso automática, no sujeta a condiciones, ni proceso administrativo.
- Reforma a la TIE para aplicar al restante 50% del exceso, bajo parámetros sectoriales o general ajustado (excluyendo microempresas), escogiendo la tasa que sea menor, a elección del contribuyente.
- Aplicar descuentos al anticipo sobre sueldos y salarios y nuevas inversiones para el ejercicio fiscal 2017.
- Permitir que el crédito tributario por efecto de la devolución del exceso, sea aplicable a impuestos nacionales, incluyendo aranceles.
- Ampliar a tres (3) cuotas el pago del anticipo de IR y reconocer la facultad del contribuyente para solicitar facilidades de pago por tres (3) cuotas adicionales, sin intereses. (Aplicar facilidades de pago)
